nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000428	D.W. Griffith	1875	1948	director,writer,producer	tt0010484,tt0009559,tt0004972,tt0006864
nm0000590	Edgar Allan Poe	1809	1849	writer,soundtrack,miscellaneous	tt8646426,tt1772264,tt0379889,tt1663656
nm0000636	William Shakespeare	1564	1616	writer,soundtrack,miscellaneous	tt3894536,tt5377528,tt5932378,tt8632012
nm0014872	H.E. Aitken	1877	1956	producer,writer,executive	tt0003167,tt0004223,tt0240055,tt0137485
nm0019604	Dante Alighieri	1265	1321	writer,soundtrack	tt7370578,tt1874782,tt4191374,tt1118686
nm0019855	Marcel Allain	1885	1969	writer	tt4834784,tt1437355,tt4836094,tt4836480
nm0054977	Reginald Barker	1886	1945	director,writer,producer	tt0011021,tt0005553,tt0012014,tt0025515
nm0078116	Francesca Bertini	1892	1985	actress,producer,writer	tt0009715,tt0003637,tt0991281,tt0183433
nm0078205	Francesco Bertolini	\N	\N	director,writer,art_department	tt0891611,tt0002130,tt1062341,tt0457865
nm0078442	Marguerite Bertsch	1889	1967	writer,director	tt0008016,tt0006590,tt0163048,tt0182438
nm0088881	August Blom	1869	1947	director,actor,producer	tt2345521,tt0002646,tt0121456,tt0128813
nm0094343	Emiliano Bonetti	1874	1937	writer	tt0214595,tt0143085,tt0143099,tt0003102
nm0108345	Grigore Brezeanu	1892	1919	director,writer,actor	tt0172597,tt0172594,tt0001475,tt0172209
nm0120272	Edward George Bulwer-Lytton	1803	1873	writer	tt0004532,tt0054422,tt0003489,tt0015944
nm0130633	André Calmettes	1861	1942	director,actor,writer	tt0001175,tt0237838,tt0002461,tt3096726
nm0143333	Mario Caserini	1874	1920	director,actor,writer	tt0008947,tt0003489,tt0000609,tt0123246
nm0166693	William H. Clifford	1874	1938	writer,director,producer	tt0187397,tt0165952,tt0161491,tt0015143
nm0195339	Gabriele D'Annunzio	1863	1938	writer,soundtrack	tt0003740,tt0057467,tt0008233,tt0167853
nm0209738	Giuseppe de Liguoro	1869	1944	director,actor,writer	tt0189846,tt0166545,tt0001377,tt0002130
nm0210503	Alfred de Musset	1810	1857	writer,soundtrack	tt0029222,tt0003419,tt0192288,tt0015192
nm0218404	Aristide Demetriade	1872	1930	director,actor,writer	tt0002452,tt0172597,tt0175013
nm0223865	Salvatore Di Giacomo	1860	1934	writer,soundtrack	tt0003637,tt0057171,tt0039163,tt1080884
nm0237713	Sidney Drew	1863	1919	actor,director,writer	tt0009870,tt0009481,tt0003973,tt0005901
nm0263912	Hanns Heinz Ewers	1871	1943	writer,actor	tt0008826,tt0020635,tt0017621,tt0003419
nm0266183	Norbert Falk	1872	1932	writer	tt0179523,tt0002423,tt0010962,tt0014416
nm0275421	Louis Feuillade	1873	1925	director,writer,producer	tt0011110,tt0006206,tt0014897,tt0009905
nm0285643	Francis Ford	1881	1953	actor,director,writer	tt0214250,tt0182783,tt0008476,tt0190330
nm0300487	Urban Gad	1879	1947	director,writer,cinematographer	tt0132155,tt0132536,tt0132266,tt0001914
nm0309130	Charles L. Gaskill	1870	1943	writer,director,actor	tt0003378,tt0003298,tt0004469,tt0004643
